Recent.Dat
11 21 2017 21 21 00 00000000 00110000  13.4 1532.6 168.6  -1.0  0.1   3.911  24.29     0     0
    0.162   -0.793 121.0 111.0
    0.168   -0.814 117.0 105.0
    0.184   -0.819 115.0 101.0
    0.175   -0.836 111.0  94.0
    0.177   -0.817 107.0  93.0
    0.218   -0.899 101.0  88.0
    0.246   -0.949  95.0  86.0
    0.241   -0.965  91.0  80.0
    0.251   -1.019  85.0  73.0
    0.276   -0.988  81.0  65.0
    0.283   -1.005  78.0  60.0
    0.296   -1.049  71.0  55.0
    0.294   -1.052  67.0  50.0

Recent.Dat
11 21 2017 23 09 00 00000000 00110000  13.4 1532.4 167.8  -0.9  0.5   4.023  24.23     0     0
    0.031   -0.254 198.0 199.0
    0.021   -0.311 189.0 188.0
    0.020   -0.400 180.0 178.0
    0.019   -0.451 174.0 169.0
    0.030   -0.461 165.0 164.0
    0.047   -0.447 161.0 159.0
    0.059   -0.470 157.0 158.0
    0.075   -0.555 154.0 155.0
    0.076   -0.550 152.0 152.0
    0.062   -0.546 149.0 145.0
    0.078   -0.549 146.0 142.0
    0.090   -0.582 139.0 141.0
    0.078   -0.603 137.0 136.0
    0.093   -0.602 133.0 130.0
    0.101   -0.612 130.0 124.0
    0.133   -0.645 124.0 120.0
    0.175   -0.734 120.0 115.0
    0.170   -0.745 117.0 110.0
    0.164   -0.727 114.0 106.0
    0.190   -0.785 111.0 103.0
    0.203   -0.818 107.0  96.0
    0.206   -0.838 104.0  91.0
    0.216   -0.840 102.0  85.0
    0.244   -0.908  94.0  77.0
    0.276   -0.983  86.0  71.0
    0.282   -1.004  81.0  69.0
    0.295   -1.003  78.0  64.0
    0.292   -1.004  73.0  61.0
    0.309   -1.037  68.0  59.0
    0.315   -1.058  66.0  57.0

Recent.Dat
11 21 2017 23 15 00 00000000 00110000  13.4 1532.4 167.6  -0.9  0.5   4.026  24.23     0     0
    0.040   -0.239 197.0 197.0
    0.043   -0.277 184.0 184.0
    0.032   -0.366 176.0 175.0
    0.066   -0.381 169.0 169.0
    0.048   -0.416 165.0 163.0
    0.059   -0.411 162.0 158.0
    0.063   -0.467 157.0 155.0
    0.111   -0.526 154.0 152.0
    0.121   -0.529 150.0 149.0
    0.125   -0.560 147.0 145.0
    0.130   -0.543 143.0 143.0
    0.111   -0.525 140.0 136.0
    0.115   -0.525 137.0 132.0
    0.129   -0.588 134.0 126.0
    0.116   -0.603 131.0 122.0
    0.168   -0.649 127.0 120.0
    0.185   -0.730 123.0 114.0
    0.202   -0.744 119.0 109.0
    0.177   -0.754 116.0 104.0
    0.191   -0.755 113.0  97.0
    0.207   -0.822 108.0  91.0
    0.218   -0.877 105.0  85.0
    0.221   -0.892 102.0  82.0
    0.243   -0.896  96.0  79.0
    0.249   -0.902  92.0  74.0
    0.257   -0.913  85.0  69.0
    0.265   -0.962  81.0  62.0
    0.262   -0.995  74.0  57.0
    0.278   -0.980  71.0  50.0
    0.296   -1.000  66.0  46.0

Recent.Dat
11 21 2017 23 21 00 00000000 00110000  13.4 1532.4 167.4  -0.9  0.8   4.031  24.23     0     0
    0.058   -0.250 196.0 194.0
    0.068   -0.318 184.0 183.0
    0.054   -0.342 176.0 175.0
    0.057   -0.429 169.0 167.0
    0.066   -0.418 164.0 162.0
